@RELATION meta-features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE AutoCorrelation NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE EquivalentNumberOfAtts NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE MaxAttributeEntropy NUMERIC
@ATTRIBUTE MaxMutualInformation NUMERIC
@ATTRIBUTE MaxNominalAttDistinctValues NUMERIC
@ATTRIBUTE MeanAttributeEntropy NUMERIC
@ATTRIBUTE MeanMutualInformation NUMERIC
@ATTRIBUTE MeanNoiseToSignalRatio NUMERIC
@ATTRIBUTE MeanNominalAttDistinctValues NUMERIC
@ATTRIBUTE MinAttributeEntropy NUMERIC
@ATTRIBUTE MinMutualInformation NUMERIC
@ATTRIBUTE MinNominalAttDistinctValues NUMERIC
@ATTRIBUTE MinorityClassPercentage NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC
@ATTRIBUTE Quartile1AttributeEntropy NUMERIC
@ATTRIBUTE Quartile1MutualInformation NUMERIC
@ATTRIBUTE Quartile2AttributeEntropy NUMERIC
@ATTRIBUTE Quartile2MutualInformation NUMERIC
@ATTRIBUTE Quartile3AttributeEntropy NUMERIC
@ATTRIBUTE Quartile3MutualInformation NUMERIC
@ATTRIBUTE StdvNominalAttDistinctValues NUMERIC

@DATA
3.0,0.9991135652559447,0.10971281590796744,0.005042899661557009,0.13075294535605633,0.5472015663840565,0.031904421840921814,0.019902066459853818,0.046701237437821064,6.48802958541491e-05,0.0384569017334097,0.004511124023892131,0.026660942623875295,1.4756874811755343e-05,0.0008293556120022061,2.780707093199113e-10,0.010101010101010102,0.954719929548647,0.03290996819352186,1.0,0.0,0.018612521150592216,0.027637109174782164,0.0,0.0,0.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0582529884220222,0.000183160575213214,0.07209789075625223,0.0012781951366719418,0.04871441623341951,0.0043543567159485715,3.951520618949704e-05
6.0,0.040904195803964136,0.6934149304273348,0.000334724832504592,-1.0,0.03274351434229436,0.015382833761170408,-1.0,-1.0,0.0015571271004995782,-1.0,-1.0,-1.0,0.013104104832838663,-1.0,-1.0,0.25252525252525254,0.055682982791586996,0.015751779648181405,0.0,0.24489795918367346,0.007332205301748449,0.1998974884674526,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.9417064122946475,0.0582935877053524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
11.0,0.6971520401724681,0.16010588128750342,0.003472931261522962,-1.0,0.4815913952856868,0.005249850417864932,-1.0,-1.0,6.48802958541491e-05,-1.0,-1.0,-1.0,0.0005460043680349443,-1.0,-1.0,0.020202020202020204,0.14067762906309753,0.0009303935781206049,0.0,0.01020408163265306,0.0005640157924421884,0.0012813941568426447,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.8004504504504504,0.19954954954954954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
12.0,0.9955500939027722,0.4761163895780593,0.04758338526380913,-1.0,0.09614735043414332,0.0035513694003203953,-1.0,-1.0,0.0005190423668331928,-1.0,-1.0,-1.0,0.0043680349442795545,-1.0,-1.0,0.09090909090909091,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.12013536379018612,0.015376729882111738,0.0,0.0,0.12162162162162163,0.0,0.0,0.0,0.0,0.9959521733715282,0.004047826628471789,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
14.0,0.9955500939027722,0.4761163895780593,0.01685968595873419,-1.0,0.09614735043414332,0.0035513694003203953,-1.0,-1.0,0.0005190423668331928,-1.0,-1.0,-1.0,0.0043680349442795545,-1.0,-1.0,0.09090909090909091,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.04117315284827975,0.015376729882111738,0.0,0.0,0.04279279279279279,0.0,0.0,0.0,0.0,0.9875687375687375,0.01243126243126243,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
15.0,0.6318383790232206,0.09879056797328094,0.006240764217516634,-1.0,0.6892929028660465,0.008531006929030515,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.010101010101010102,0.6836206872970674,0.005084709089728887,0.02857142857142857,0.0,0.00338409475465313,0.0020399794976934905,0.00032,1.9939801738551313e-06,0.005067567567567568,0.0,0.10571428571428572,0.0228898426323319,0.00328928046989721,0.9005067567567567,0.09949324324324323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
16.0,0.9955500939027722,0.4761163895780593,0.014226226018299194,-1.0,0.09614735043414332,0.0035513694003203953,-1.0,-1.0,0.0005190423668331928,-1.0,-1.0,-1.0,0.0043680349442795545,-1.0,-1.0,0.09090909090909091,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.03440496333897349,0.015376729882111738,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
18.0,0.9955500939027722,0.4761163895780593,0.0014978363061967151,-1.0,0.09614735043414332,0.0035513694003203953,-1.0,-1.0,0.0005190423668331928,-1.0,-1.0,-1.0,0.0043680349442795545,-1.0,-1.0,0.09090909090909091,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.001692047377326565,0.015376729882111738,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.8576254826254825,0.14237451737451734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
20.0,0.9955500939027722,0.4761163895780593,0.05285030514467912,0.02184746824341198,0.09614735043414332,0.0035513694003203953,0.14726250075477115,0.16423641443519385,0.0005190423668331928,0.220214410573177,0.08197680465661707,0.003689545629793518,0.0026643200697472804,0.10826930148660097,0.009537204198562521,0.04040404040404041,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.13367174280879865,0.015376729882111738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.32979001866220414,0.06281186199186926,0.2624274404362465,0.08295981893003908,0.16548259419391256,0.09808788168926125,0.00012748079077520437
21.0,0.5993366659678092,0.1423837741688672,0.0017396431988755455,0.02438686698048102,0.7373769792297546,0.02304529926077474,0.10573845475210425,0.06175682955928913,0.0001297605917082982,0.22151028375415754,0.0269503104006168,0.01311510827982226,0.0008580068640549126,0.32107664857390955,0.00105659864990735,0.020202020202020204,0.05754948303944479,0.001276586537421295,0.0,0.02040816326530612,0.001692047377326565,0.012588416196822142,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.32107664857390955,0.005565403202472643,0.26309740547014426,0.0200395339679215,0.1697779383606759,0.05424497854382246,0.0001284786877794393
